SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,ZRLeafCN,ZRFineRootCN,ZRWoodCN,ZRCoarseRootCN,ZRFoliageLitterCN,ZRMaximumANPP,KMMaximumANPP,KMLeafCN,KMWoodCN,OGMaxDrought
AcerRubr,3,FALSE,1360.7,6493.2,-20,0.837,1,FALSE,0.263,0.225,0.3104,0.204,83,45,500,90,65,373,22400,50,45,500,90,65,450,745,63.75,500,0.372
AcerSacc,3,FALSE,1334.9,4177.35,-18,0.837,1,TRUE,0.175,0.334,0.125,0.312,83,45,500,90,65,373,22400,50,45,500,90,65,450,745,63.75,500,0.072
BetuLent,3,FALSE,1649.98,3578.13,-18,0.45,1,TRUE,0.219,0.27,0.2018,0.251,83,45,500,90,65,290,22400,50,45,500,90,65,350,580,63.75,500,0.2
CaryAlba,2,FALSE,2232.16,5310.4,-7,0.45,1,FALSE,0.187,0.27,0.2,0.251,30,25,100,49,43,187,21000,18,25,100,49,43,225,373,22.95,100,0.2
CaryGlab,2,FALSE,1977.12,6960,-7,0.45,1,TRUE,0.187,0.24,0.2,0.251,30,25,100,118,43,187,21000,18,25,100,118,43,225,373,22.95,100,0.2
CornFlor,3,FALSE,2443.75,5295.9,-4,0.5625,1,TRUE,0.172,0.255,0.255,0.255,83,45,350,90,45,191,10500,50,45,350,90,45,230,381,63.75,350,0.25
FaguGran,3,FALSE,1387.8,5112.6,-12,0.63,1,FALSE,0.172,0.255,0.255,0.255,83,45,350,90,45,290,14000,50,45,350,90,45,350,580,63.75,350,0.28
FraxPenn,2,FALSE,1703.01,5917.729,-23,0.63,1,TRUE,0.144,0.27,0.2018,0.251,39,26,455,50,65,124,10500,23,26,189,50,65,150,248,29.75,455,0.114
FraxAmer,2,FALSE,1456.94,5112.6,-12,0.63,1,FALSE,0.114,0.27,0.2018,0.251,39,26,189,50,65,124,10500,23,26,189,50,65,150,248,29.75,189,0.28
HaleDipt,3,FALSE,1910,6960,-2,0.675,1,FALSE,0.336,0.255,0.255,0.255,30,45,90,50,30,83,10500,18,45,90,50,30,100,166,22.95,90,0.3
LiriTuli,3,FALSE,2295.39,6000,-7,0.837,1,TRUE,0.331,0.255,0.255,0.255,99,45,500,90,65,394,22400,60,45,500,90,65,475,787,76.5,500,0.3
MagnAcum,3,FALSE,1849.8,4987.6,-2,0.45,1,TRUE,0.293,0.23,0.23,0.23,83,48,500,333,55,290,10500,50,48,500,333,55,350,580,63.75,500,0.16
